origin,target
CCTV8-电视剧,CCTV8
CCTV8电视剧,CCTV8
CCTV-8高清,CCTV8
CCTV-9,CCTV9
CCTV99,CCTV14
CCTV99999,cctv1
CCTV9H,CCTV9
CCTV9HD,CCTV9
CCTV-9纪录,CCTV9
CCTV9纪录,CCTV9
CCTV-9记录,CCTV9
CCTV-9高清,CCTV9
CCTVL,cctv1
CCTV-NEWS,CGTN
CCTVOHD,CCTV16
CCTVUHD,CCTV4K
🌏CCTV世界地理,世界地理
CCTV-世界地理,世界地理
CCTV世界地理,世界地理
CCTV-世界地理F,世界地理
CCTV-世界地理IPV6,世界地理
CCTV中学生,中学生
CCTV中视购物,好享购物
CCTV体育,CCTV1
CCTV体育.备用,CCTV5
CCTV-兵器科技,兵器科技
CCTV兵器科技,兵器科技
CCTV-兵器科技F,兵器科技
CCTV兵器科技F,兵器科技
CCTV-兵器科技IPV6,兵器科技
CCTV军事,CCTV7
CCTV军事.备用,CCTV7
CCTV剧集,CCTV8
CCTV剧集.备用,CCTV8
CCTV台球,央视台球
CCTV--国际,CCTV4
CCTV-国际,CCTV4
CCTV国际,CCTV4
CCTV国际.备用,CCTV4
CCTV-央视台球,央视台球
CCTV央视台球,央视台球
CCTV-央视台球F,央视台球
CCTV-央视台球IPV6,央视台球
CCTV央视文化,央视精品
CCTV-央视文化精品,央视精品
CCTV央视文化精品,文化精品
CCTV-央视高网F,高尔夫网球
CCTV-央视高网IPV6,高尔夫网球
CCTV奥林匹克4K,cctv16
CCTV-女性时尚,女性时尚
CCTV女性时尚,女性时尚
CCTV-女性时尚F,女性时尚
CCTV-女性时尚IPV6,女性时尚
CCTV女生时尚,女性时尚
CCTV少儿,CCTV14
CCTV少儿.备用,CCTV14
CCTV-怀旧剧场,怀旧剧场
CCTV怀旧剧场,怀旧剧场
CCTV-怀旧剧场F,怀旧剧场
CCTV-怀旧剧场IPV6,怀旧剧场
CCTV戏曲,CCTV11
CCTV戏曲.备用,CCTV11
CCTV文化精品,央视精品
CCTV-文化精品F,文化精品
CCTV-文化精品IPV6,文化精品
🆕CCTV新闻,CCTV13
CCTV法制,CCTV12
CCTV法制.备用,CCTV12
CCTV电影,CCTV6
CCTV电影.备用,CCTV6
CCTV-电影「高清」,CCTV6
CCTV-电视指南,电视指南
CCTV电视指南,电视指南
